State_County,Edu_Less_than_HS_2017_21,Edu_HS_diploma_2017_21,Edu_Some_college_2017_21,Edu_Bachelor_or_higher_2017_21,Crime_Rate,Income_Mean,Race_Hispanic,Race_White,Race_Black,Race_Native,Race_Asian,Race_Pacific
AL_Autauga_County,10.4,32.8,28.7,28.1,251.6019259,53735.55723542117,2.7,75.4,18.9,0.3,0.9,0.0
AL_Barbour_County,24.3,36.7,27.8,11.2,177.2787709,37725.0,4.2,45.7,47.8,0.2,0.6,0.0
AL_Blount_County,16.4,35.1,33.6,14.9,210.8100636,55127.0,9.0,87.4,1.5,0.3,0.1,0.0
AL_Butler_County,14.4,45.2,26.3,14.0,537.8731804,27993.0,0.3,52.2,44.7,0.1,1.1,0.0
AL_Chambers_County,17.2,36.2,32.9,13.7,562.0279843,45107.0,2.2,56.2,39.3,0.3,1.0,0.0
AL_Chilton_County,18.2,42.9,25.3,13.5,354.9407294,43767.0,7.7,80.4,9.5,0.4,0.4,0.0
AL_Colbert_County,13.2,37.7,31.2,17.9,482.3917828,60729.0,2.4,78.8,15.9,0.7,0.5,0.0
AL_Coosa_County,14.9,41.8,32.1,11.2,192.6959075,31229.0,0.1,65.3,33.2,0.1,0.0,0.0
AL_Covington_County,14.8,38.0,31.4,15.8,258.6707491,46370.0,1.6,83.5,13.0,0.3,0.4,0.0
AL_Cullman_County,15.8,32.4,35.3,16.5,237.591417,54514.5,4.2,92.3,1.1,0.4,0.6,0.0
AL_DeKalb_County,21.8,33.5,30.3,14.4,381.6202667,47929.0,14.3,80.8,1.4,1.2,0.3,0.1
AL_Elmore_County,12.4,32.1,31.0,24.6,284.2945786,49958.0,2.9,73.4,21.2,0.3,0.6,0.0
AL_Escambia_County,18.3,43.7,25.4,12.5,618.6978385,33737.0,2.2,60.2,32.2,3.6,0.4,0.1
AL_Etowah_County,13.8,33.8,34.4,18.0,513.8024266,50459.666666666664,3.7,78.3,15.4,0.5,0.7,0.1
AL_Franklin_County,20.5,42.2,23.0,14.3,497.9068882,55758.5,16.3,77.7,4.7,0.2,0.4,0.1
AL_Geneva_County,17.5,36.6,32.4,13.5,318.0304561,41057.0,3.8,84.0,9.2,0.6,0.4,0.0
AL_Greene_County,15.6,39.3,32.5,12.7,903.4766697,32777.0,1.2,17.1,80.3,0.6,0.0,0.0
AL_Hale_County,18.7,39.1,26.4,15.8,136.3105284,34452.5,1.3,39.5,58.7,0.2,0.2,0.0
AL_Jackson_County,17.6,38.3,28.1,16.1,385.2618459,56029.0,2.9,89.3,3.2,1.0,0.5,0.1
AL_Jefferson_County,9.0,26.4,29.9,34.7,798.3574913,106463.0,3.7,50.4,42.4,0.2,1.5,0.0
AL_Lamar_County,17.5,41.7,30.8,10.0,133.4644563,44572.0,1.5,86.0,10.8,0.3,0.0,0.0
AL_Lawrence_County,16.8,41.3,26.6,15.3,294.7569,42079.0,2.1,76.6,11.4,5.2,0.1,0.0
AL_Lee_County,8.6,22.1,30.7,38.6,246.4669754,64649.0,3.7,67.6,22.9,0.1,3.8,0.0
AL_Marion_County,18.7,35.6,33.1,12.6,280.2136217,45143.5,2.5,91.9,3.2,0.4,0.3,0.0
AL_Mobile_County,12.1,34.2,29.7,23.9,552.3100664,56973.42857142857,2.8,57.5,35.2,0.6,1.9,0.0
AL_Morgan_County,15.3,31.2,30.8,22.8,254.6186147,57994.0,8.0,76.4,12.3,0.5,0.7,0.0
AL_Pickens_County,16.7,42.3,27.6,13.3,216.4836864,35028.0,4.1,54.1,40.5,0.1,0.1,0.0
AL_Randolph_County,19.7,34.4,29.6,16.2,268.4032208,48217.0,3.0,75.3,19.4,0.2,0.2,0.2
AL_St._Clair_County,14.0,35.2,32.4,18.5,203.9208416,0.0,2.3,86.2,9.3,0.2,0.8,0.0
AL_Shelby_County,6.4,19.8,29.0,44.8,176.8047801,61313.333333333336,5.8,78.5,11.7,0.2,1.9,0.0
AL_Sumter_County,12.7,33.5,34.3,19.5,553.8507597,22603.0,0.3,24.6,70.7,0.5,3.0,0.0
AL_Talladega_County,17.1,34.6,32.4,15.9,326.7732071,54807.0,2.2,63.1,32.1,0.3,0.6,0.0
AL_Tallapoosa_County,18.4,31.6,31.9,18.1,497.5365871,55849.0,2.4,68.9,27.2,0.4,0.4,0.0
AL_Tuscaloosa_County,10.4,29.8,29.2,30.6,432.2257134,59112.5,3.5,62.4,31.2,0.1,1.5,0.0
AL_Walker_County,17.7,34.6,33.6,14.1,443.9528471,51907.0,2.4,89.4,6.0,0.1,0.5,0.0
AL_Washington_County,13.8,42.5,30.1,13.6,325.8873022,67392.0,0.5,65.1,24.6,7.5,0.9,0.0
AK_Aleutians_East_Borough,15.3,41.6,27.2,15.9,0.0,83098.42253521127,9.7,15.5,4.8,37.4,26.1,1.4
AK_Aleutians_West_Census_Area,9.0,43.4,30.9,16.8,235.8918527,67102.0,13.5,24.8,5.0,11.5,37.7,2.6
AK_Bethel_Census_Area,18.0,46.6,22.6,12.7,275.9319743,49088.666666666664,2.2,10.2,0.7,82.0,0.9,0.0
AK_Dillingham_Census_Area,13.5,39.9,27.1,19.6,938.1237525,79728.0,3.1,16.2,0.4,72.0,1.5,0.0
AK_Fairbanks_North_Star_Borough,5.5,25.6,36.3,32.6,182.2055837,83034.5,7.7,71.1,4.0,6.3,3.0,0.4
AK_Haines_Borough,2.3,39.4,32.6,25.6,154.3209877,101864.0,2.8,79.0,0.0,7.5,3.9,0.2
AK_Kenai_Peninsula_Borough,6.0,30.9,35.7,27.4,167.9878209,76885.0,4.0,81.0,0.5,7.1,1.5,0.3
AK_Ketchikan_Gateway_Borough,6.0,28.9,38.7,26.4,211.2316993,0.0,4.8,64.4,0.5,13.5,7.8,0.0
AK_Kodiak_Island_Borough,9.5,28.2,33.2,29.2,856.0311284,74363.0,8.9,50.1,0.2,12.7,22.1,0.9
AK_Matanuska-Susitna_Borough,6.3,33.0,37.0,23.7,64.08101521,77110.0,4.6,79.9,1.0,5.0,1.3,0.2
AK_Nome_Census_Area,12.4,43.6,25.7,18.4,232.5111201,73951.0,2.4,14.9,0.8,73.0,1.4,0.3
AK_North_Slope_Borough,12.3,41.4,30.6,15.6,722.6925459,78415.0,4.1,31.3,0.5,50.9,5.6,1.6
AK_Northwest_Arctic_Borough,15.7,47.1,22.8,14.4,1014.964216,60776.5,2.5,11.1,0.5,81.6,0.9,0.0
AK_Southeast_Fairbanks_Census_Area,7.4,38.1,35.1,19.3,0.0,242857.0,5.2,74.9,1.4,11.5,1.9,0.0
AK_Valdez-Cordova_Census_Area,,,,,184.3695585,28542.5,4.8,70.2,0.1,13.3,2.8,0.6
AK_Yukon-Koyukuk_Census_Area,12.9,42.3,31.9,12.9,0.0,38191.75,2.1,21.3,0.1,70.4,0.7,0.0
AZ_Apache_County,17.8,31.0,38.3,12.8,95.92126116,63183.57342657343,6.1,18.5,0.5,72.8,0.3,0.1
AZ_Cochise_County,11.3,24.4,38.5,25.8,590.856781,42740.333333333336,35.0,55.7,3.6,0.9,1.8,0.4
AZ_Coconino_County,9.0,21.3,30.9,38.7,334.7029054,62513.5,13.9,54.3,1.2,25.8,1.8,0.1
AZ_Gila_County,13.1,28.5,39.7,18.8,245.0379809,81213.57142857143,18.6,62.8,0.4,15.6,0.9,0.0
AZ_Graham_County,16.6,29.6,39.1,14.7,613.6278747,55575.0,32.5,51.2,1.8,12.6,0.7,0.2
AZ_Maricopa_County,11.2,22.0,32.5,34.4,410.2097764,75077.0,30.6,56.3,5.1,1.5,3.9,0.2
AZ_Mohave_County,12.6,34.3,38.5,14.6,180.7614638,50804.142857142855,15.9,78.0,1.0,2.1,1.2,0.1
AZ_Navajo_County,15.5,29.5,38.4,16.7,357.8017555,36601.833333333336,11.2,41.6,0.7,43.2,0.6,0.1
AZ_Pima_County,10.6,21.4,33.6,34.4,478.147697,55898.6,36.6,52.6,3.2,2.4,2.6,0.1
AZ_Pinal_County,12.4,30.4,36.2,20.9,196.481315,58458.333333333336,29.6,57.4,4.3,4.3,1.6,0.3
AZ_Santa_Cruz_County,22.3,26.1,28.6,23.0,113.3253507,41648.0,83.4,15.0,0.3,0.2,0.8,0.0
AZ_Yavapai_County,8.4,25.2,38.6,27.8,319.8021689,46226.0,14.3,80.9,0.5,1.5,0.9,0.0
AZ_Yuma_County,25.1,26.6,32.6,15.7,346.4197494,38239.75,62.9,31.8,1.8,0.9,1.1,0.1
AR_Ashley_County,14.8,50.9,22.3,12.0,244.3264577,43595.0,5.2,68.0,25.6,0.2,0.0,0.0
AR_Benton_County,10.3,29.4,25.8,34.6,267.1757334,51528.0,16.3,74.2,1.6,1.4,3.7,0.5
AR_Bradley_County,15.9,42.9,28.7,12.5,275.5800516,40194.0,14.8,55.9,29.1,0.0,0.0,0.0
AR_Clay_County,15.7,42.8,27.5,14.0,90.89728607,41443.0,1.9,95.8,0.7,0.5,0.0,0.0
AR_Cleburne_County,11.8,42.4,28.9,17.0,245.2697968,56439.0,2.5,94.8,0.6,0.7,0.8,0.0
AR_Columbia_County,13.0,39.8,27.1,20.2,190.3658335,48380.0,2.5,59.4,34.9,0.3,1.1,0.0
AR_Conway_County,11.9,41.0,28.5,18.7,268.2984232,55086.0,3.8,81.8,11.0,0.3,0.1,0.0
AR_Craighead_County,10.3,32.8,27.9,28.9,322.205581,43930.333333333336,4.9,77.3,13.4,0.2,1.1,0.1
AR_Crawford_County,15.1,34.1,31.7,19.1,316.3530175,49044.0,7.3,85.0,1.3,1.6,1.8,0.0
AR_Dallas_County,12.3,45.2,31.0,11.5,516.8284382,38731.0,3.1,53.2,40.0,0.4,1.6,0.2
